=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.12.06 02:12:48 =~=~=~=~=~=~=~=~=~=~=~=
,-20.81
2238.34,-20.91
2238.34,-21.34
2238.34,-21.13
2238.34,-21.34
2238.34,-21.24
2238.35,-21.24
2238.36,-19.30
2238.36,-21.02
2238.36,-21.78
2238.36,-21.13
2238.36,-21.67
2238.36,-21.13
2238.36,-20.81
2238.36,-20.91
2238.36,-20.91
2238.37,-21.02
2238.37,-20.91
2238.37,-21.13
2238.37,-20.05
2238.37,-20.91
2238.37,-20.91
2238.37,-21.88
2238.37,-21.24
2238.37,-21.24
2238.38,-20.91
2238.38,-21.13
2238.38,-21.67
2238.38,-21.24
2238.38,-20.81
2238.38,-20.37
2238.38,-20.91
2238.38,-20.91
2238.38,-21.45
2238.39,-21.88
2238.39,-20.27
2238.39,-20.70
2238.39,-20.59
2238.40,-21.13
2238.40,-21.34
2238.40,-21.34
2238.40,-21.56
2238.40,-19.84
2238.40,-20.81
2238.41,-20.91
2238.41,-21.34
2238.41,-21.02
2238.41,-20.91
2238.41,-21.78
2238.41,-21.34
2238.41,-20.37
2238.41,-21.45
2238.41,-19.19
2238.42,-21.24
2238.42,-19.62
2238.42,-20.91
2238.42,-20.91
2238.42,-20.91
2238.42,-21.45
2238.42,-21.45
2238.42,-20.91
2238.42,-20.91
2238.43,-21.45
2238.43,-21.24
2238.43,-21.13
2238.43,-20.91
2238.43,-20.37
2238.43,-21.13
2238.43,-21.88
2238.43,-21.34
2238.44,-20.91
2238.44,-21.24
2238.45,-21.13
2238.45,-21.34
2238.45,-21.34
2238.45,-21.24
2238.45,-20.48
2238.45,-21.34
2238.45,-21.34
2238.45,-20.91
2238.45,-21.24
2238.46,-21.45
2238.46,-21.34
2238.46,-20.91
2238.46,-21.88
2238.46,-19.19
2238.46,-21.24
2238.46,-21.56
2238.46,-21.02
2238.46,-21.67
2238.47,-21.02
2238.47,-19.19
2238.47,-20.91
2238.47,-22.10
2238.47,-21.24
2238.47,-21.56
2238.47,-21.56
2238.47,-21.24
2238.47,-21.56
2238.47,-20.91
2238.48,-20.91
2238.49,-19.19
2238.49,-20.91
2238.49,-21.24
2238.49,-21.88
2238.49,-21.02
2238.49,-20.70
2238.49,-21.56
2238.49,-21.34
2238.50,-19.40
2238.50,-21.24
2238.50,-21.24
2238.50,-19.19
2238.50,-21.02
2238.50,-21.45
2238.50,-20.91
2238.50,-20.81
2238.50,-21.45
2238.51,-21.34
2238.51,-19.73
2238.51,-21.02
2238.51,-21.24
2238.51,-21.88
2238.51,-21.02
2238.51,-21.24
2238.51,-21.24
2238.51,-20.81
2238.51,-20.91
2238.52,-21.45
2238.52,-20.91
2238.52,-20.81
2238.52,-21.02
2238.52,-22.31
2238.53,-21.56
2238.53,-21.02
2238.53,-20.91
2238.53,-21.02
2238.54,-21.24
2238.54,-20.37
2238.54,-21.45
2238.54,-21.78
2238.54,-21.02
2238.54,-21.02
2238.54,-21.99
2238.54,-21.24
2238.54,-21.13
2238.55,-21.24
2238.55,-21.24
2238.55,-20.91
2238.55,-21.45
2238.55,-21.02
2238.55,-21.13
2238.55,-21.56
2238.55,-21.56
2238.55,-21.13
2238.55,-21.24
2238.56,-21.02
2238.56,-21.67
2238.56,-21.88
2238.56,-21.56
2238.56,-21.24
2238.56,-20.91
2238.56,-21.02
2238.56,-21.67
2238.56,-20.37
2238.57,-20.91
2238.57,-21.02
2238.58,-20.91
2238.58,-20.91
2238.58,-21.67
2238.58,-21.02
2238.58,-20.91
2238.58,-21.45
2238.58,-21.56
2238.59,-21.88
2238.59,-21.67
2238.59,-20.91
2238.59,-21.02
2238.59,-21.78
2238.59,-20.91
2238.59,-19.84
2238.59,-20.91
2238.59,-21.67
2238.59,-20.91
2238.60,-22.10
2238.60,-21.02
2238.60,-21.13
2238.60,-21.13
2238.60,-21.45
2238.60,-19.30
2238.60,-20.81
2238.60,-21.34
2238.60,-21.45
