=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.12.05 23:00:12 =~=~=~=~=~=~=~=~=~=~=~=
,-0.54
9462.00,-1.40
9462.00,0.00
9462.00,-1.62
9462.00,-1.62
9462.00,-0.65
9462.00,-1.19
9462.00,-1.40
9462.01,-1.40
9462.01,-1.83
9462.01,-1.94
9462.01,-0.11
9462.02,-1.40
9462.02,-1.83
9462.02,0.43
9462.02,-1.62
9462.02,-0.22
9462.02,-0.32
9462.02,-2.05
9462.02,-1.72
9462.02,-1.40
9462.02,-1.94
9462.03,-0.86
9462.03,-1.72
9462.03,-1.72
9462.03,-1.40
9462.03,-1.62
9462.03,-0.11
9462.03,-1.72
9462.03,-1.19
9462.03,-1.83
9462.03,-1.62
9462.04,-1.29
9462.04,-1.19
9462.04,-3.02
9462.04,-1.83
9462.04,-0.32
9462.04,0.11
9462.04,-2.05
9462.05,0.65
9462.05,-2.05
9462.05,-1.62
9462.06,-1.51
9462.06,-1.51
9462.06,-1.94
9462.06,-0.22
9462.06,-1.94
9462.06,-0.75
9462.06,-2.26
9462.06,-0.43
9462.06,-0.22
9462.06,-1.72
9462.07,-1.83
9462.07,-2.05
9462.07,-0.22
9462.07,-1.40
9462.07,0.43
9462.07,-1.51
9462.07,-1.72
9462.07,-0.22
9462.07,-1.51
9462.07,-1.29
9462.07,-1.62
9462.08,-3.02
9462.08,-1.62
9462.08,-1.29
9462.08,-2.05
9462.08,-1.72
9462.08,-1.72
9462.08,0.00
9462.08,-1.62
9462.09,-1.51
9462.09,-0.22
9462.10,-1.62
9462.10,-2.48
9462.10,-1.51
9462.10,-1.40
9462.10,-0.22
9462.10,-1.62
9462.10,-1.83
9462.10,-1.72
9462.10,-1.62
9462.10,-2.16
9462.11,-2.26
9462.11,-0.22
9462.11,-0.22
9462.11,-0.32
9462.11,-1.72
9462.11,-1.72
9462.11,-2.05
9462.11,-1.72
9462.11,-0.22
9462.11,-0.54
9462.12,-1.94
9462.12,-1.94
9462.12,0.43
9462.12,-1.94
9462.12,-1.62
9462.12,-0.22
9462.12,-2.05
9462.12,-1.40
9462.12,-2.05
9462.12,-1.40
9462.14,-1.51
9462.14,-1.72
9462.14,-1.94
9462.14,-1.51
9462.14,-0.43
9462.14,-0.54
9462.14,-1.62
9462.14,-1.51
9462.14,-0.97
9462.14,-1.62
9462.15,-1.51
9462.15,-0.43
9462.15,-0.22
9462.15,-0.54
9462.15,-1.83
9462.15,-1.83
9462.15,-1.51
9462.15,-1.40
9462.15,-2.26
9462.15,-1.40
9462.15,-0.86
9462.16,-1.83
9462.16,-0.43
9462.16,-1.94
9462.16,-1.94
