=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.12.06 02:20:59 =~=~=~=~=~=~=~=~=~=~=~=,
2729.11,-21.88
2729.11,-21.02
2729.11,-20.91
2729.11,-21.34
2729.11,-21.24
2729.12,-19.51
2729.12,-21.13
2729.12,-21.13
2729.12,-21.13
2729.12,-21.78
2729.12,-19.73
2729.12,-20.91
2729.12,-20.59
2729.12,-21.13
2729.12,-21.24
2729.13,-19.4
2729.14,-21.24
2729.14,-21.34
2729.14,-21.24
2729.14,-21.34
2729.14,-20.91
2729.14,-21.13
2729.14,-21.34
2729.14,-21.45
2729.15,-21.56
2729.15,-21.02
2729.15,-21.34
2729.15,-21.02
2729.15,-21.56
2729.15,-21.34
2729.15,-20.91
2729.15,-21.45
2729.15,-21.24
2729.16,-21.56
2729.16,-21.45
2729.16,-21.02
2729.16,-21.88
2729.16,-21.02
2729.16,-19.94
2729.16,-21.02
2729.16,-21.24
2729.16,-20.81
2729.16,-21.24
2729.17,-21.88
2729.17,-19.62
2729.17,-21.24
2729.17,-21.24
2729.17,-20.91
2729.18,-21.45
2729.18,-21.88
2729.18,-21.88
2729.18,-19.4
2729.19,-21.45
2729.19,-20.37
2729.19,-22.31
2729.19,-20.91
2729.19,-20.16
2729.19,-21.24
2729.19,-20.91
2729.19,-21.34
2729.19,-21.24
2729.2,-20.16
2729.2,-20.91
2729.2,-21.24
2729.2,-19.73
2729.2,-21.02
2729.2,-21.56
2729.2,-21.34
2729.2,-20.7
2729.2,-21.13
2729.2,-19.19
2729.21,-21.67
2729.21,-21.24
2729.21,-20.91
2729.21,-20.91
2729.21,-21.13
2729.21,-21.56
2729.21,-21.88
2729.21,-19.62
2729.21,-21.24
2729.23,-22.1
2729.23,-20.91
2729.23,-20.91
2729.23,-21.13
2729.23,-19.84
2729.23,-21.02
2729.23,-21.56
2729.23,-20.91
2729.23,-20.91
2729.24,-20.37
2729.24,-20.91
2729.24,-21.24
2729.24,-19.84
2729.24,-21.45
2729.24,-20.91
2729.24,-20.91
2729.24,-21.67
2729.24,-20.7
2729.24,-22.64
2729.25,-21.02
2729.25,-21.34
2729.25,-21.02
2729.25,-21.45
2729.25,-21.24
2729.25,-21.56
2729.25,-20.91
2729.25,-20.91
2729.25,-21.45
2729.26,-21.67
2729.26,-21.45
2729.26,-20.7
2729.26,-21.02
2729.26,-20.91
2729.26,-20.91
2729.27,-21.45
2729.27,-21.34
2729.27,-21.45
2729.28,-21.24
2729.28,-21.45
2729.28,-21.02
2729.28,-21.02
2729.28,-21.13
2729.28,-19.3
2729.28,-21.67
2729.28,-21.02
2729.28,-21.24
2729.28,-19.4
2729.29,-20.91
2729.29,-21.67
2729.29,-21.02
2729.29,-19.3
2729.29,-21.13
2729.29,-20.81
2729.29,-21.67
2729.29,-21.24
2729.29,-21.02
2729.3,-21.56
2729.3,-21.02
2729.3,-19.62
2729.3,-21.45
2729.3,-20.91
2729.3,-19.84
2729.3,-21.56
2729.3,-21.67
2729.3,-20.91
2729.32,-21.02
2729.32,-21.34
2729.32,-19.94
2729.32,-22.42
2729.32,-21.45
2729.32,-20.48
2729.32,-21.24
2729.32,-21.24
2729.32,-21.45
2729.32,-21.02
2729.33,-21.13
2729.33,-21.45
2729.33,-21.88
2729.33,-20.91
2729.33,-20.91
2729.33,-21.02
2729.33,-21.02
2729.33,-21.02
2729.33,-22.1
2729.34,-21.02
2729.34,-21.88
2729.34,-21.78
2729.34,-21.34
2729.34,-20.91
2729.34,-21.45
2729.34,-21.02
2729.34,-21.02
2729.34,-20.91
2729.35,-21.56
2729.36,-20.37
2729.36,-20.16
2729.36,-19.84
2729.36,-21.24
2729.36,-20.91
2729.36,-21.45
2729.36,-21.45
2729.36,-21.45
2729.36,-21.24
2729.37,-21.13
2729.37,-19.19
2729.37,-19.19
2729.37,-20.91
2729.37,-21.24
2729.37,-20.91
2729.37,-20.91
2729.37,-20.48
2729.37,-20.16
2729.38,-21.02
2729.38,-21.88
2729.38,-21.24
2729.38,-20.91
2729.38,-20.91
2729.38,-21.34
2729.38,-21.24
2729.38,-20.91
2729.38,-20.37
2729.39,-19.62
2729.39,-21.45
2729.39,-21.45
2729.39,-21.45
2729.4,-21.24
2729.4,-21.13
2729.4,-20.91
2729.4,-21.24
2729.4,-21.56
2729.4,-21.13
2729.41,-19.51
2729.41,-20.7
2729.41,-20.7
2729.41,-21.56
2729.41,-21.45
2729.41,-20.59
2729.41,-20.59
2729.41,-21.13
2729.41,-21.02
2729.42,-20.91
2729.42,-20.91
2729.42,-21.02
2729.42,-22.53
2729.42,-21.13
2729.42,-19.84
2729.42,-20.59
2729.42,-21.02
2729.42,-21.88
2729.43,-21.02
2729.43,-21.67
2729.43,-21.24
2729.43,-21.45
2729.43,-21.34
2729.43,-20.91
2729.43,-21.02
2729.43,-21.13
2729.44,-21.78
2729.44,-21.67
2729.45,-20.91
2729.45,-21.34
2729.45,-20.91
2729.45,-19.51
2729.45,-21.67
2729.45,-21.02
2729.45,-21.78
2729.45,-21.45
2729.45,-21.13
2729.46,-21.34
2729.46,-21.88
2729.46,-20.48
2729.46,-20.81
2729.46,-21.13
2729.46,-20.7
2729.46,-20.81
2729.46,-22.21
2729.46,-19.62
2729.47,-20.91
2729.47,-21.99
2729.47,-21.45
2729.47,-21.88
2729.47,-21.56
2729.47,-20.91
2729.47,-20.91
2729.47,-21.02
2729.47,-21.56
2729.47,-21.24
2729.48,-21.34
2729.49,-19.94
2729.49,-20.81
2729.49,-20.59
2729.49,-21.24
2729.49,-20.91
2729.49,-19.3
2729.49,-19.94
2729.49,-20.91
2729.5,-21.13
2729.5,-21.13
2729.5,-19.19
2729.5,-21.45
2729.5,-21.24
2729.5,-21.24
2729.5,-21.56
2729.5,-21.13
2729.5,-21.34
2729.51,-21.24
2729.51,-21.45
2729.51,-21.13
2729.51,-20.81
2729.51,-21.13
2729.51,-21.45
2729.51,-21.34
2729.51,-20.37
2729.51,-21.13
2729.51,-20.81
2729.52,-21.24
2729.52,-21.45
2729.52,-19.08
2729.52,-20.91
2729.52,-21.88
2729.53,-21.13
2729.53,-21.56
2729.53,-20.59
2729.53,-19.3
2729.54,-21.45
2729.54,-20.27
2729.54,-21.56
2729.54,-21.24
2729.54,-21.02
2729.54,-21.02
2729.54,-19.3
2729.54,-21.88
